STATE,H_OR_S,DISTRICT,NAME,PARTY_R,YES,PERCENT_RURAL,MEAN_INCOME,PERCENT_PRIVATE,PERCENT_21_FBLA,PERCENT_21_FBA,PERCENT_21_W,PERCENT_21_B,PERCENT_21_H,CHANGE_FBLA,CHANGE_FBA,CHANGE_HISP,CHANGE_A,,,,,,
AR,H,42,Meeks,1,1,100,58138,9.67,1.48,0.91,48.71,41.22,6.56,0.33,0.62,2.89,0.64,,,,,,
AR,H,43,Beck,1,1,78.91,83551,7.07,1.51,0.45,86.28,2.78,5.71,0.42,-0.78,2,-0.56,,,,,,
AR,H,44,Berry,1,1,91.34,75806,10.66,0.66,0.69,91.24,1.57,3.64,-0.59,-1.36,-2.14,-1.13,,,,,,
AR,H,45,Pilkington,1,1,74.49,72393,9.17,1.69,0.62,89.65,1.77,4.79,-2.78,-0.5,-2.46,-0.58,,,,,,
AR,H,46,Eubanks,1,1,100,66266,52.31,2.08,0.91,79.72,9.95,6.04,1.75,-0.9,3.64,-0.95,,,,,,
AR,H,47,Johnson,1,1,64.71,55580,6.01,0.24,0.09,77.63,13.77,2.76,-0.28,-0.25,0.83,-0.27,,,,,,
AR,H,48,Rose,1,1,12.1,53134,10.69,2.96,0.14,35.29,57.07,5.53,1.99,-0.47,1.82,-0.72,,,,,,
AR,H,49,Richardson,0,0,1.77,57768,8.73,0.42,0.99,60.43,32.37,2.12,-0.24,0.99,-0.32,0.05,,,,,,
AR,H,50,Gramlich,1,1,0,58376,8.54,0.37,0.39,38.08,51.01,2.4,-1.96,-0.1,-2.25,-0.13,,,,,,
AR,H,51,Crawford,1,1,2.58,68104,8.91,1.18,0.64,51.68,39.19,2.69,0.58,0.25,0.71,0.44,,,,,,
AR,H,52,Richmond,1,1,86.86,61638,8.42,1.43,0.01,86.13,4.7,3.3,0.28,-0.22,-0.77,-0.09,,,,,,
AR,H,53,Duffield,1,1,13.32,77637,8.59,0.83,0.35,81.83,9.06,3.93,-0.78,0.29,0.34,0.05,,,,,,
AR,H,54,Bentley,1,1,70.49,66040,5.15,0.73,0.3,81.78,8.88,4.03,0.62,0.23,3.82,0.44,,,,,,
AR,H,55,Brown,1,1,1.64,55316,4.55,1.68,0.1,39.68,52.04,4.94,0.48,-0.16,1.76,-0.17,,,,,,
AR,H,56,Magie,0,0,17.78,57144,6.79,0.19,0.03,94.96,0.33,1.03,-0.24,-0.04,-1.17,-0.06,,,,,,
AR,H,57,Cooper,1,1,100,61702,7.92,0.45,0.4,89.88,3.46,2.98,0.33,0.16,1.81,0.15,,,,,,
AR,H,58,Eaves,1,1,19.33,84052,9.28,1.68,1.78,72.86,15.29,5.24,0.98,1.65,2.39,1.97,,,,,,
AR,H,59,Wooten,1,0,43.84,62434,4.44,2.77,1.24,64.08,24.7,6.52,1.69,1.14,4.35,1.05,,,,,,
AR,H,60,Lynch,1,1,100,57760,11.82,0.54,0.11,92.2,0.8,2.8,-0.63,0.08,0.12,0.12,,,,,,
AR,H,61,Moore,1,1,73.39,54423,6.99,0.2,0.55,92.19,0.72,1.24,-9.24,-0.11,-13.39,-0.62,,,,,,
AR,H,62,McElroy,1,1,70.98,53764,4.5,0.51,0.27,90.16,1,2.7,-0.84,-1.31,-1.91,-2.25,,,,,,
AR,H,63,"Ferguson, D",0,0,30.48,67464,7.67,2.39,0.63,84.42,2.32,7.69,-0.77,-2.98,0.89,-3.7,,,,,,
AR,H,64,"Ferguson, K",0,0,29.95,61394,17.13,0.25,0.19,92.94,0.25,1.91,-4.17,-1.3,-6.6,-1.87,,,,,,
AR,H,65,Flowers,0,0,20.72,64976,11.69,1.65,0.39,83.4,8.57,4.15,-14.86,-5.2,-27.06,-8.54,,,,,,
AR,H,66,Perry,0,0,19.17,68208,8.7,0.62,0.3,92.13,1.52,2.6,-3.99,-1.16,-6.65,-1.64,,,,,,
AR,H,67,Brown,1,1,1.93,85624,6.33,0.98,0.08,89.56,3.91,3.83,0.43,-0.97,0.99,-0.98,,,,,,
AR,H,68,Evans,1,1,18.43,69783,10.22,0.91,0.27,92.29,0.34,4.38,-3.19,-0.88,-6.28,-1.29,,,,,,
AR,H,69,Ray,1,1,55.46,60596,17.93,7.65,1.45,79.42,1.46,13.39,2.72,1.02,3.86,2.04,,,,,,
AR,H,70,Wing,1,1,3.89,79970,16.52,0.98,3.07,74.37,15.23,2.67,0.41,2.93,1.18,3.36,,,,,,
AR,H,71,Achor,1,1,6.91,60600,3.87,6.41,2.65,73.7,4.69,14.77,6.12,2.23,13.87,1.92,,,,,,
AR,H,72,Scott,0,0,0.3,57752,19.29,2.82,0.78,66.02,22.46,6.54,-1.3,-0.19,-0.27,-0.25,,,,,,
AR,H,73,Collins,0,0,2.44,65463,5.59,7.18,0.44,78.88,1.9,16.13,6.8,0.41,15.24,0.95,,,,,,
AR,H,74,McCullough,0,0,0,61331,13.76,0.43,0.48,89.11,1.47,3.07,-1.94,-0.96,-1.76,-0.29,,,,,,
AR,H,75,Hudson,0,0,1.59,69363,10.65,1.04,0.83,90.39,0.63,5.33,-1,-0.29,1.25,-0.75,,,,,,
AR,H,76,Springer,0,0,0.01,98519,16.51,3.81,3.46,69.52,8.05,8.99,2.37,3.12,4.96,5.43,,,,,,
AR,H,77,Allen,0,0,4.83,76729,18.95,2.12,2.78,71.81,6.45,10.08,0.74,2.29,6.34,4,,,,,,
AR,H,78,Brooks,1,1,63.15,44569,8.86,16.51,4.62,38.08,10.6,38.36,15.68,4.62,35.78,6.86,,,,,,
AR,H,79,Shephard,0,0,2.97,67036,7.18,5.04,1.23,77.12,2.15,11.94,4.86,1.12,10.66,2.16,,,,,,
AR,H,80,Ennett,0,0,37.44,76020,9.23,2.55,1.39,83.27,1.39,5.33,2.28,1.16,3.96,2.37,,,,,,
AR,H,81,Hawk,1,1,16.09,71773,9.26,0.93,0.3,89.54,0.88,3.89,0.5,-0.02,2.12,-0.13,,,,,,
AR,H,82,Furman,1,1,9.22,57596,13.54,0.81,0.2,87.9,0.55,4.31,0.58,-0.08,2.89,-0.18,,,,,,
AR,H,83,Fite,1,1,25.71,61003,11.47,0.16,0.11,94.42,0.17,1.4,-0.39,-0.5,-1.34,-0.86,,,,,,
AR,H,84,Warren,1,1,26.5,98524,22.23,0.95,2.24,82.86,2.36,5.85,0.79,1.53,3.65,1.72,,,,,,
AR,H,85,McGrew,1,1,55.58,79606,7.32,1.16,1.27,80.22,4.53,7.44,0.67,1.06,5.37,1.27,,,,,,
AR,H,86,Maddox,1,1,81.51,64174,4.15,2.62,2.84,72.49,7.48,7.51,2.34,2.36,6.24,2.62,,,,,,
AR,H,87,Vaught,1,1,79.81,85682,21,8.54,1.54,63.04,1.06,19.83,8,1.02,17.66,1.73,,,,,,
AR,H,88,Watson,1,1,70.07,83176,13.78,13.9,2.19,50.44,2.81,32.9,10.93,1.34,26.46,3.17,,,,,,
AR,H,89,Gonzales,1,1,100,68746,4.37,19.96,1.6,27.38,3.27,50.03,16.96,-0.09,43.36,0.34,,,,,,
AR,H,90,Womack,1,1,58.65,117368,15.53,9.91,2.03,64.38,1.76,22.48,9.04,1.9,19.53,2.49,,,,,,
AR,H,91,Cozart,1,1,4.08,119385,17.9,2.91,1.79,76.48,2.82,8.29,-3.09,1.19,-3.26,2.19,,,,,,
AR,H,92,Mayberry,1,0,84.37,123650,16.47,1.18,1.11,84.68,1.72,4.68,-0.59,-2.46,-0.35,-2.56,,,,,,
AR,H,93,Holcomb,1,1,79.26,122709,14.04,3.79,10.2,66.29,2.57,9.52,-9.91,7.83,-17.2,9.6,,,,,,
AR,H,94,Wardlaw,1,1,55.69,72682,9.83,17.86,3.74,50.39,1.63,32.82,-5.49,2.36,-8.87,3.12,,,,,,
AR,H,95,Beaty,1,1,75.46,100770,14.18,5.86,0.55,76.72,1.36,12.37,-5.56,0.21,-9.18,0.56,,,,,,
AR,H,96,Barker,1,1,99.38,89598,6.93,13.92,0.55,58.14,0.55,31.82,-3.77,-0.13,2.59,0.24,,,,,,
AR,H,97,Shepherd,1,1,38.51,82499,11.02,4.74,0.92,78.03,1.7,10.33,-0.28,-0.11,-1.29,-0.54,,,,,,
AR,H,98,Andrews,1,1,57.46,60081,8.51,3.26,0.86,84.66,0.33,9.88,2.05,0.22,5.58,0.09,,,,,,
AR,H,99,Jean,1,1,75.14,54793,5.5,0.34,0.47,93.3,0.62,2.09,-3.87,-3.91,-6.14,-5.21,,,,,,
AR,H,100,Dalby,1,1,16.04,61497,9.55,0.69,0.3,92.21,0.22,2.82,-2.52,-2.06,-7.15,-4.21,,,,,,
GA,S,1,Watson,1,1,22.63,99156,22.8,2.68,2.01,61.15,23.37,8.16,0.8,-0.17,2.55,-0.17,,,,,,
GA,S,2,Jackson,0,0,0.86,71603,24.41,2.75,2.24,36.3,52.29,6.79,-0.94,0.7,1.16,0.87,,,,,,
GA,S,3,McNeill,1,1,39.93,77696,11.89,2.61,1.21,67.2,22.06,6.19,0.4,0.55,0.93,0.6,,,,,,
GA,S,5,Rahman,0,0,0,68592,9.57,22.38,8.41,17.54,30.31,40.72,-9.66,-0.66,-5.98,-0.67,,,,,,
GA,S,7,Harper,1,0,0,57414,8.18,2.96,0.49,65.8,24.05,7.92,-1.01,-0.1,0.42,0.12,,,,,,
GA,S,8,Goodman,1,0,51.04,63473,8.06,1.68,0.99,56.08,33.59,6.53,-0.54,0.07,2,0.06,,,,,,
GA,S,9,Merrit,0,0,0.02,114408,14.59,7.4,6.77,45,28.56,12.71,-2.85,1.1,-1.41,2.57,,,,,,
GA,S,10,Jones,0,0,4.39,79332,15.71,4.39,1.6,17.93,71.04,5.13,0.87,0.63,1.61,1.65,,,,,,
GA,S,12,Sims,0,0,49.3,55026,10.28,2.1,0.67,29.03,63.84,3.89,1.05,0.09,1.76,0.57,,,,,,
GA,S,13,Summers,1,0,57.66,68780,11.22,2.37,0.86,58.89,32.06,6.07,0.62,0.12,1.89,0.07,,,,,,
GA,S,14,Thompson,1,1,0,91634,15.6,6.17,1.67,70.64,11.41,12.46,3.75,0.66,8.03,0.74,,,,,,
GA,S,15,Harbison,0,0,22.32,56336,9.37,1.53,0.98,32.38,56,6.57,-0.89,0.11,-0.19,-0.01,,,,,,
GA,S,16,Harbin,1,1,39.12,107338,15.5,2.23,2.22,66.51,21.27,5.25,-0.07,0.88,0.56,1.25,,,,,,
GA,S,17,Strickland,1,1,50.39,92580,14.13,3.84,1.41,48.4,39.84,6.63,0.32,0.46,2.06,0.5,,,,,,
GA,S,18,Kennedy,1,1,39.32,82498,19.96,1.46,1.17,59.63,31.72,4.67,-0.4,-0.34,0.27,-0.23,,,,,,
GA,S,20,Walker,1,0,51.52,82674,10.7,1.81,1.82,58.21,31.32,5,0.05,1.12,1.72,1.44,,,,,,
GA,S,21,Beach,1,0,24.01,143577,18.68,3.75,6.5,74.31,6.95,7.96,-0.94,3.94,0.02,4.95,,,,,,
GA,S,22,Jones,0,0,3.71,62219,14.68,1.28,1.25,29.08,60.31,5.05,-0.12,-0.05,1.29,-0.03,,,,,,
GA,S,23,Burns,1,1,61.88,68031,15,1.59,0.91,56.85,34.57,4.95,0.51,0.24,1.71,0.26,,,,,,
GA,S,24,Anderson,1,1,49.49,90937,13.64,1.63,2.32,67.14,19.97,5.76,0.05,0.16,1.69,0.21,,,,,,
